"CLTXB","ESTCB","NGTXB","PATXB","TEACB","TECCB","TEICB","TERCB","TETXV"
"1",108.80674,46979.72564,142009.782,213138.0814,194128.5071,82034.74649,155497.1492,88708.25685,743.12157
"2",193.25995,51969.79952,153481.929,218583.2922,204288.3791,92420.07537,158804.9115,98657.38377,819.61578
"3",277.86433,59346.47187,158200.8421,251575.1291,225161.7965,102004.8192,178742.0358,110491.1751,944.4813
"4",234.99415,65254.36011,165837.2734,279198.2693,243866.6606,113205.4643,190539.6285,122453.8561,1136.69878
"5",222.51007,69205.32645,161646.9117,272995.5874,233251.7574,120126.3935,198516.9795,124373.5265,1499.56234
"6",2631.97164,72224.18558,145395.8825,260934.2789,230132.5052,122308.2232,178073.0196,129480.4893,1794.39225
"7",7305.47417,75501.47299,154091.3625,268326.8913,235045.6592,132602.1377,190110.966,134115.615,2016.05976
"8",17074.22002,79550.75612,145010.0821,300223.3415,253252.1901,138791.3452,207200.8455,139623.3197,2415.81229
"9",9159.21469,81983.536,128507.4432,322516.1083,267014.7717,135112.5745,207073.6587,138738.9681,2673.92293
"10",37988.24974,88889.424,126401.1548,312471.5984,274215.543,133590.7732,231166.4643,147419.2723,3369.85954
"11",13100.09199,91311.944,121445.1626,291252.749,265917.6033,138112.6391,196777.9198,153650.6775,4168.28971
"12",24718.12906,98353.57501,131458.7629,281336.3988,269161.8864,136413.2016,231957.3764,150275.1784,4690.12462
"13",30827.3518,91657.1531,109440.6005,275922.9563,261414.5536,138057.5839,191878.6359,155008.7216,4800.55518
"14",30338.63757,95138.17104,100402.6944,284382.5304,263359.1166,138280.7104,190241.8638,165927.8943,4772.23778
"15",36653.70106,101495.8871,100184.317,307402.1951,279837.1203,154865.7085,197812.8867,169967.6817,5111.10623
"16",38812.50075,112598.733,93121.4801,314764.3321,293425.0276,169343.7312,194691.2343,185443.9899,5455.67368
"17",46275.06793,115957.0793,73243.74486,333068.7814,299695.4682,174349.8987,197132.8077,181647.1923,5108.66553
"18",13297.04075,125011.9814,93834.19998,339227.0334,312314.6492,191706.7241,169660.4097,191981.2112,5438.23736
"19",12292.9114,132782.5555,102405.292,346311.6248,322828.0071,197457.5154,184669.3069,201355.168,5624.49967
"20",14263.10305,139030.7941,99044.39249,350402.7837,322208.9651,212385.5381,193915.3277,214578.7877,6028.3582
"21",13253.5555,141494.224,105760.2161,345899.3476,325551.3076,215545.6382,189010.9396,218622.1319,6501.68115
"22",13743.26446,142786.7988,104266.5677,353587.0085,332395.1636,210530.3264,192826.3445,222153.3557,6448.64948
"23",12910.0231,148938.1401,101895.8828,364350.5027,336927.3399,215106.2646,206028.6708,225724.3669,6916.88072
"24",13502.73307,151519.5979,97124.45283,380331.56,354096.9966,218895.5763,199862.0282,230168.5019,7367.16515
"25",14658.12459,161326.3034,112992.8469,387753.9725,367010.8247,230656.6332,210938.9844,246561.2001,7560.4176
"26",13216.30617,165785.5622,105287.536,409626.6712,373358.8247,240055.4457,229573.4326,243723.397,7691.06784
"27",13370.36719,177712.4471,102374.0427,439306.6504,394405.1271,252436.6538,241790.5482,262721.4087,8519.00251
"28",13719.84273,185803.309,110527.9752,440364.1699,395050.4749,264827.2886,250282.033,277185.77,8606.8385
"29",13434.74176,190537.2611,118221.0972,477736.3426,425151.3641,282241.3634,244415.7032,292444.178,8413.38688
"30",13168.06637,196742.5598,112370.8305,503982.558,448499.5523,293982.4568,244122.6642,302391.3156,9036.29031
"31",15959.03539,208575.7135,110687.7649,510524.4142,460490.216,311260.2785,232783.0447,328904.7268,10653.90114
"32",14730.31292,212479.9253,112422.7426,514256.0253,475781.654,309311.7517,214398.9653,336772.4716,10662.30543
"33",14002.8635,213593.7146,107227.2729,528889.4668,485849.6985,315794.4447,208006.502,338569.4707,10453.02126
"34",15263.88856,218639.4587,104085.9359,536528.909,497783.2715,315230.0153,201687.9022,350843.032,11887.54232
"35",16211.73479,228376.2524,111182.8235,562280.7978,511520.0498,323077.9909,230731.2347,366479.7348,13863.34052
"36",15951.47477,236761.0206,106529.203,590833.597,534497.8817,335423.7356,227379.4354,381485.9443,16698.38964
"37",16329.77604,249938.4717,111986.4065,601466.6565,551814.9966,346070.4541,234295.9184,398352.2728,18909.24173
"38",15322.28929,263383.2189,115693.9152,595721.2021,547346.3298,366727.6044,233891.4245,423468.0486,20175.18204
"39",12928.55602,260226.1294,118394.8739,577528.992,519773.5212,367050.8881,244953.6902,413297.4169,22584.81309
"40",8729.99171,250553.1538,108977.24,539669.3655,493623.1949,352103.5235,207759.871,400826.9578,17539.30683
