"CLTXB","ESTCB","NGTXB","PATXB","TEACB","TECCB","TEICB","TERCB","TETXV"
"1",61811.50474,404818.2481,1570666.584,2381891.2,1832688.305,771510.5428,1864435.855,1046211.531,7012.68195
"2",51014.75909,429349.6512,1672104.598,2457835.022,1909118.082,830871.1509,1857639.511,1166815.81,7709.22915
"3",47451.94713,461648.138,1660208.769,2489898.239,1932051.017,854372.9131,1912835.836,1192521.045,8198.61735
"4",66956.00654,477836.4027,1670273.892,2590147.046,1987098.907,878102.3208,2014388.781,1189442.791,9363.87533
"5",60670.1672,448483.6286,1624846.661,2486381.255,1899594.416,844943.8596,1946510.863,1148332.809,12806.93419
"6",56405.23,506413.0662,1645457.575,2503302.363,1955852.254,971538.6072,1905924.434,1220288.264,14970.44139
"7",66629.89346,532331.8908,1536713.727,2650064.103,2065484.61,979744.5442,1956581.745,1202299.232,16673.77798
"8",75109.05148,541826.685,1483950.358,2835959.239,2206924.591,995873.7238,2027050.379,1153748.507,19289.75502
"9",67891.9103,554951.564,1326035.028,3044760.79,2372998.734,1005773.746,1923137.962,1195699.292,21062.94638
"10",68564.94334,578641.08,1431296.467,3129940.026,2354345.67,1051580.317,2062065.583,1289994.298,26585.1748
"11",66169.6168,571738.604,1345094.264,3100849.568,2363749.739,1085300.13,1898056.517,1225645.64,36099.28138
"12",78400.54828,581452.9501,1255997.676,2955042.38,2345618.119,1132070.24,1695529.593,1192108.862,40551.43559
"13",69414.68153,565856.3945,1203044.486,2797204.087,2230679.052,1085584.066,1552216.501,1231949.133,40977.66623
"14",32021.77139,563658.234,1113651.671,2929013.667,2253696.3,1004807.539,1628757.207,1225272.968,37852.992
"15",37242.74012,612292.51,1138182.383,3207202.34,2373539.184,1069984.684,1886507.8,1227018.785,40559.01716
"16",45264.37754,628938.2421,1225202.858,3117728.619,2364206.375,1079471.879,1877743.664,1303247.074,41690.96152
"17",42518.7609,632650.0784,1126830.395,3179522.56,2447310.477,1072751.335,1792564.156,1217001.048,35679.07356
"18",44951.38533,657833.4669,1325180.755,3324904.102,2578318.262,1134976.427,1945345.399,1307891.865,37959.08202
"19",50824.28608,684574.0343,1287546.117,3464385.931,2730005.235,1200876.484,1882197.396,1358897.726,39889.96173
"20",57918.63584,696521.4832,1372354.604,3499194.302,2816953.512,1275405.999,1936041.811,1420136.533,43761.68383
"21",65319.70397,720249.0499,1452667.597,3486793.785,2834433.763,1342105.398,1980660.497,1390975.058,48464.93257
"22",64020.12328,711915.4685,1561790.456,3261381.237,2691307.504,1314487.095,2003424.784,1379598.016,47540.13825
"23",64805.05505,728281.9863,1505514.237,3256671.396,2681120.971,1305979.704,2015601.388,1366836.718,49605.85625
"24",56918.28248,718225.7475,1518873.618,3161684.081,2641734.719,1255996.42,1952157.052,1367891.381,48548.80142
"25",58034.77798,729090.8384,1499909.441,3306313.987,2757750.542,1233673.591,1978988.004,1386549.143,50203.44786
"26",60995.12473,725407.3183,1489977.975,3327202.447,2820810.213,1277682.612,1933849.167,1341681.305,50933.50326
"27",60324.43031,744199.7988,1479075.769,3377646.299,2868005.519,1265125.986,1960328.751,1377736.61,52664.51069
"28",64686.06109,777526.9899,1577102.191,3297955.395,2802790.349,1314733.41,2092852.096,1369188.736,55231.65459
"29",46074.5751,806712.7056,1754641.36,3314682.012,2811081.394,1433841.646,2103459.548,1490852.201,51878.92725
"30",47426.22346,801242.9592,1640374.194,3425281.684,2873058.841,1351765.905,2121643.704,1492407.268,55772.72033
"31",47941.69483,832723.1732,1545193.433,3568169.035,3021544.739,1384791.501,2129340.298,1452006.758,68201.6384
"32",46727.4823,845352.9505,1514322.328,3600346.442,2970936.958,1459895.742,2134130.772,1430228.299,73092.69862
"33",47113.96642,802547.8888,1576351.895,3730210.982,3134488.075,1468061.718,1995915.15,1436651.402,69678.00166
"34",47754.17209,829871.1302,1595217.954,3813131.783,3274443.67,1462917.896,1983378.308,1487406.09,80938.08688
"35",46374.30958,859912.6199,1669049.885,3765876.281,3201788.482,1569272.402,2050606.518,1513849.958,90268.94913
"36",46729.90398,867499.3179,1595148.853,3840156.123,3290706.49,1544469.184,1998812.525,1494214.112,104084.9655
"37",45095.433,897214.4975,1580092.014,3866738.995,3342783.421,1581181.07,1945112.656,1536142.623,115977.7143
"38",43136.47689,901569.5163,1580780.332,3896876.728,3387324.173,1611141.937,1924811.84,1527330.033,121313.9374
"39",39420.32868,914945.6072,1592596.466,3696960.679,3220751.395,1634332.562,1879830.524,1562675.026,135274.852
"40",31318.46832,885699.3217,1560592.437,3571545.138,3129539.397,1578660.295,1769997.27,1527310.983,104711.6886
