"CLTXB","ESTCB","NGTXB","PATXB","TEACB","TECCB","TEICB","TERCB","TETXV"
"1",250.66243,19115.91084,233071.347,155229.9591,138461.1187,64490.20555,193844.6769,61974.26046,462.19827
"2",274.84443,20903.37916,238453.857,154875.5656,142540.455,67765.63984,194681.4783,64605.969,499.16676
"3",159.47075,22611.7778,249325.0999,171070.8946,159267.5486,69355.01604,203950.1679,69265.95219,543.26995
"4",409.85506,24097.31824,205062.1056,186931.0905,158856.2527,64406.19999,196871.8917,57772.66389,602.65561
"5",150.92077,24126.14623,203397.5202,186450.8151,160014.1891,64652.1064,191937.265,60014.37181,808.77758
"6",0,22724.10084,188254.5921,188742.1817,158078.601,59036.49854,180973.4753,61483.70119,902.25101
"7",160.26279,24590.22258,223194.6382,196271.4763,163068.3386,73342.25598,200611.526,72026.35184,1023.24758
"8",368.26367,26201.42016,170744.3936,206481.425,164186.0098,67149.60278,179353.3394,62768.6369,1185.93742
"9",1713.14979,27466.6,159514.8369,212480.4371,173952.3958,67350.55837,170431.4697,63631.40485,1352.18737
"10",2079.3894,29281.784,160627.9656,209694.0083,173597.5169,68757.2198,169087.5293,69358.56518,1666.91348
"11",1045.50224,29950.536,173417.9009,199245.8557,176347.3345,71773.83232,165181.3267,67553.30395,2206.11824
"12",2823.04803,30254.99558,149291.2924,212831.4502,193241.2597,67629.08804,150425.5174,61563.57397,2679.41702
"13",3001.76487,30185.7354,167684.676,185700.0267,174894.4333,68916.5797,155408.2554,65937.23999,2475.3239
"14",2343.06177,30081.78882,154214.0266,206946.4638,158760.3475,78383.14063,166351.8118,69103.00544,2440.11153
"15",1781.57935,37670.68074,139093.7184,201970.9765,141930.7058,82818.43332,179011.1922,71607.3895,2595.28407
"16",1953.4347,40511.46758,133812.4103,187669.2305,163626.201,75359.31547,154450.9811,72480.23306,2540.47951
"17",2128.62397,40605.8128,123522.5973,188491.3423,170042.976,79593.7475,135297.8367,70299.07396,2251.92408
"18",1146.828,42077.45275,145653.272,196947.0287,177779.8252,82573.04377,152880.9933,72603.44234,2379.09302
"19",1177.5966,43521.15184,163634.6845,198482.3435,192202.6592,95541.22286,149551.2424,73439.47376,2439.98442
"20",1088.04279,45617.76784,176883.4259,199219.422,205965.8446,98492.41881,156055.2587,75112.6018,2632.97015
"21",970.398,47156.43312,225134.6032,211536.6912,230413.7187,95794.20363,193723.647,79505.35149,2942.7892
"22",1032.41264,48054.41693,198717.1811,229099.2547,225493.5053,96048.72215,190842.3655,80611.68618,2984.31928
"23",1157.52288,49240.20976,188174.3424,233877.3466,211683.7276,99260.83345,196409.6743,82893.86533,2985.89822
"24",1495.8642,50930.51115,196761.9591,235689.055,224220.4055,101469.3539,196752.7566,83163.01237,3161.54817
"25",1666.86211,54110.20513,188457.2355,224604.4983,213429.5001,100223.5405,199147.2234,82381.77515,3103.6908
"26",1826.46264,56009.84295,186850.4578,208774.0012,195275.7056,101051.7762,206972.5237,81929.45317,2901.51769
"27",1783.17887,58595.61692,198469.5303,220312.6487,186730.0769,106832.3383,233083.7372,89820.84606,3232.29352
"28",1815.86716,59805.36199,221597.0293,232787.623,233725.2002,106639.2045,220560.4691,95378.16553,3477.18791
"29",1797.06686,62006.68544,196065.8992,244723.2335,231233.6349,111164.8803,211184.4099,95969.57831,3277.09955
"30",1758.79274,61556.92242,188467.0046,254224.9419,231002.2113,113872.359,209070.0901,97803.21518,3423.92831
"31",2056.89808,64147.90651,212507.9562,246838.8044,226510.9996,123458.6323,225925.1591,100905.2515,4094.49967
"32",1872.4801,63895.13873,211516.8757,240841.8283,230165.0716,124826.7911,206231.9525,102995.7259,4232.64701
"33",1899.89276,65534.0008,192287.4751,245885.9615,225776.2022,126193.5707,201565.3513,101942.4124,3913.95893
"34",2078.7581,65955.63529,187358.9365,249036.2261,216756.5776,119410.6766,216386.2003,101234.0688,4448.03342
"35",2054.95242,67713.64782,197685.7436,259508.6792,226181.2953,121077.4274,227483.859,105781.8505,5230.77199
"36",2001.3997,70420.10081,183919.1939,258549.2932,219691.0463,122712.3541,224531.1026,113916.3351,6444.52578
"37",2014.09693,73136.07328,171722.4356,269246.9284,227605.4181,121749.2076,225221.126,111448.8431,7186.01864
"38",1954.17694,75976.34833,178419.8684,281188.2522,219540.1515,125697.2212,250534.066,118508.0772,7857.73476
"39",1564.34093,75193.41034,180928.1195,264015.0759,208004.0544,126975.5235,241954.1898,119160.0862,8862.73799
"40",1461.54042,73860.02803,175089.0934,250955.5583,202385.1847,122394.6555,227361.0232,117954.0516,6454.27053
