"TETCB","TPOPP","CRTCB"
"1",5514846.233,20007,556353.50329
"2",5764444.554,20345.939,571927.5778
"3",5891784.323,20585.469,506578.2762
"4",6069035.525,20868.728,581851.04267
"5",5839381.124,21173.865,686349.86855
"6",6053607.969,21537.849,645433.32081
"7",6204103.239,21935.909,475958.64078
"8",6383598.968,22352.396,425468.1934
"9",6497610.435,22835.958,660401.4591
"10",6757992.284,23256.88,655125.64159
"11",6572758.373,23800.8,645592.57643
"12",6365322.314,24285.933,539020.8693
"13",6100430.351,24820.009,744165.03848
"14",6112530.508,25360.026,872220.37394
"15",6557050.673,25844.393,850105.9622
"16",6624671.518,26441.109,804224.2687
"17",6529625.049,27102.237,945401.9301
"18",6966525.735,27777.158,841739.4342
"19",7171978,28464.249,843065.2314
"20",7448542.852,29218.164,1086463.4217
"21",7548171.431,29959.515,1018976.8557
"22",7388813.414,30470.736,988861.4311
"23",7369531.972,30974.659,1011539.0552
"24",7217784.052,31274.928,1154188.7904
"25",7356964.239,31484.435,988838.1536
"26",7374029.634,31696.582,1172404.5692
"27",7471199.1,32018.834,1183100.8028
"28",7579562.292,32486.01,1087662.7043
"29",7839239.703,32987.675,1201223.8761
"30",7838876.822,33499.204,1114227.833
"31",7987683.987,33994.383,1109484.8239
"32",7995196.742,34481.753,962268.9727
"33",8035112.732,34867.773,1043413.5983
"34",8208142.326,35236.589,1145969.6578
"35",8335521.14,35538.256,1085006.0221
"36",8328202.618,35770.688,1196115.2753
"37",8405214.664,35947.461,1230751.8134
"38",8450611.85,36185.908,1082133.4077
"39",8297581.965,36538.008,1017040.4759
"40",8005515.051,36887.615,1044953.85
