"NGACV","NGCCV","NGICV","NGRCV","NNACB","NNCCB","NNICB","NNRCB","PAACB","PAACV","PACCB","PACCV","PAICB","PAICV","PARCB","PARCV"
"1",0,14.34789,25.22054,35.58512,25365.168,24044.595,61169.958,31430.061,168763.1657,370.9491,3215.75592,4.70665,37373.93486,32.10318,3785.22487,9.32473
"2",0,17.5429,28.27035,39.99103,27664.257,27114.636,64159.515,34543.521,176623.8706,402.51153,3518.67442,5.23136,34613.00849,35.05335,3827.73874,8.91649
"3",0,19.45408,30.02978,42.61788,27277.56907,28339.30555,66498.62023,36085.34729,197883.9457,447.16802,4330.47912,6.32046,45101.75196,43.65452,4258.95225,10.505
"4",0,24.35798,32.16967,49.63101,25232.12736,33467.49648,68969.63832,38168.0112,218634.3652,537.12534,5617.07216,8.84809,50633.44721,58.71652,4313.38478,12.47049
"5",0,27.17002,37.63889,48.50285,23604.95025,34774.95078,68924.33055,34342.68015,209646.6926,722.63482,5763.91791,14.45413,53089.84598,103.25583,4495.13094,16.77679
"6",0,37.83286,38.5072,58.18612,17939.25044,34255.86566,53389.52676,39811.23967,212192.8257,833.35085,4928.89327,14.49652,40318.4189,95.5836,3494.14101,15.5551
"7",0,52.45289,50.11907,85.24697,16119.41399,38552.99047,57191.35784,42227.60023,218925.6467,909.0198,5694.51298,17.23102,40095.48152,96.13006,3611.25006,16.15206
"8",0,59.85988,65.67517,100.00313,15714.10646,35911.33336,53036.55836,40348.08396,237536.9799,1053.528,7891.8611,23.7947,50522.80451,126.4864,4271.69607,21.79286
"9",0,65.13494,74.31903,92.44616,16161.6785,31504.35662,48768.33082,32073.0773,250853.0932,1182.68357,7706.63876,24.92651,59305.26283,157.99955,4651.11348,21.78314
"10",0,71.31914,95.90714,103.50086,21197.26972,28063.59521,46405.70549,30734.58438,253018.2733,1559.84722,5093.3071,23.06876,49774.33823,165.8955,4585.6798,28.72057
"11",0,86.17301,101.51406,119.6211,22311.63162,28738.46533,39528.32825,30861.93545,243605.9717,2141.86094,3262.16289,24.38637,42221.71413,217.12948,2162.90032,18.2907
"12",0,94.52886,124.44557,121.8211,25652.08548,28209.06612,49856.90304,27740.70828,243492.3283,2425.59018,2303.37712,19.46525,33476.46022,210.8075,2064.23313,21.51556
"13",0,127.76312,103.85583,174.49601,19502.9912,27517.0665,31354.7927,31065.7501,241870.2281,2308.14245,3616.35807,28.8837,27854.47753,168.4414,2581.89258,30.5567
"14",0,136.64505,123.06088,194.22595,12985.3064,25734.3072,31094.0528,30589.028,250367.6501,2089.46224,3098.58481,23.21892,27935.65184,175.62551,2980.64359,34.91996
"15",0,141.77208,127.23496,197.65789,14337.74552,26471.69546,30500.65634,28874.21964,265499.3748,2205.52809,3040.12861,21.89722,36511.24554,225.55281,2351.44622,25.04861
"16",0,141.2831,73.36402,200.45691,19390.85276,26520.9808,17264.78202,29944.86452,274034.1749,2303.00512,4425.79512,32.746,33145.78897,210.57118,3158.57311,31.96711
"17",0,111.63299,33.21303,159.62205,13123.15731,24942.25509,8795.72105,26320.85821,286572.3108,1928.32468,4176.0859,23.78588,39263.26752,194.41423,3057.11711,30.04785
"18",0,125.6174,66.58873,173.68296,17273.73576,28652.58951,18394.45301,29436.49968,295040.9134,2133.28195,5754.01156,36.24522,34724.11664,165.07323,3707.99179,39.28221
"19",0,140.64614,91.4194,197.1598,18966.662,29261.166,25012.46,29165.004,303861.3451,2062.93363,4256.3003,23.43246,35352.02297,164.8375,2841.95645,26.80658
"20",0,136.25166,68.53194,187.91143,19248.1077,29869.85896,21639.7608,28286.66503,302960.8574,2315.94228,3758.34366,23.50231,40938.07121,190.79156,2745.51142,38.58505
"21",0,135.98253,60.97165,207.81578,26094.20541,29318.90082,19046.4885,31300.62137,299457.1021,2602.10096,4815.53785,35.03606,39074.66876,196.76561,2552.03882,34.84013
"22",0.14054,139.94259,61.62919,219.12749,24149.02041,28273.57226,19721.66257,32122.31244,308246.1432,2460.49428,4687.49162,34.93452,37809.53867,193.65286,2843.83502,39.95479
"23",0.52127,140.80987,75.71421,205.46133,24254.19971,27935.2514,20433.43265,29272.99905,312673.1402,2645.5213,4088.16528,31.78725,44510.90752,218.52641,3078.28975,35.05229
