"NGACV","NGCCV","NGICV","NGRCV","NNACB","NNCCB","NNICB","NNRCB","PAACB","PAACV","PACCB","PACCV","PAICB","PAICV","PARCB","PARCV"
"1",0,152.9081,209.33653,544.25869,17869.516,221282.03,749133.662,582381.376,1813974.46,3749.70594,74669.27792,58.18517,472326.1624,276.39505,20921.29969,51.61601
"2",0,181.60921,225.88363,652.44883,19684.504,252627.99,734720.212,665071.892,1888617.604,4020.36863,80648.97249,75.93499,466320.0608,314.0505,22248.38516,53.77051
"3",0,188.13888,244.417,687.63505,19663.95123,243328.1285,727470.5609,669746.1288,1911417.811,4125.02071,60790.86838,69.46127,497603.1122,328.30064,20086.4477,50.96081
"4",0,197.99968,283.64261,714.84835,20735.2908,244510.4651,758264.5846,646763.552,1964115.049,4754.50517,65262.0726,84.75196,541442.9765,423.17843,19326.9473,62.29164
"5",0,227.15678,361.75381,800.41016,20020.5213,241376.2508,752062.4024,611387.4869,1877744.582,6862.12152,67206.04251,158.71081,523949.9744,702.32767,17480.65643,71.94757
"6",0,309.55562,539.56667,993.81712,21411.29538,253677.9697,703649.9056,666718.4041,1931361.091,7759.2253,46533.67911,136.07442,512546.6798,708.31414,12860.91369,53.22477
"7",0,349.06628,654.38709,1061.94852,16709.74127,231137.5776,658420.3708,630446.0371,2045369.64,8531.15619,45351.6257,139.56747,546347.7455,787.03102,12995.09159,55.13247
"8",0,471.65789,872.78256,1022.24279,15646.17756,238970.2095,660400.3906,568933.5802,2188542.916,9576.46752,52711.10574,174.0362,581244.3241,924.30739,13460.8925,64.36495
"9",0,497.04585,721.62207,1066.76073,15457.02743,232860.7124,512590.9512,565126.3368,2354939.042,10517.53642,56617.47463,203.78807,614330.8947,1041.88721,18873.37807,89.27246
"10",0,706.39382,962.88597,1458.51516,18737.7036,270889.7653,522599.5837,619069.414,2332995.672,14088.17159,53654.69919,243.29148,720491.5994,1731.30905,22798.0555,140.13599
"11",0,1027.91113,1248.73578,1861.55233,15921.90006,269401.2206,507360.4193,552410.7244,2345475.922,19282.80766,77758.54364,466.4833,661164.4097,2292.0928,16450.69191,133.84646
"12",0,1037.22574,1347.87546,1824.19976,15745.34101,247379.0529,482939.9634,509933.3191,2325798.625,22068.90021,109674.9525,775.22436,504762.8307,2285.72329,14805.9718,114.78627
"13",0,1256.13336,1422.45944,2384.74157,13516.48312,247336.5623,379674.1155,562517.3252,2210443.659,20634.51205,74433.16468,549.24544,497786.4508,2137.42159,14540.81199,145.01329
"14",0,1367.22506,1499.23413,2698.69515,10642.48675,224733.9319,359316.3734,518958.8788,2236365.603,17922.95349,58750.10833,398.83713,616289.043,2028.39335,17608.91293,190.60828
"15",0,1333.63253,1781.31653,2755.44098,11800.0134,199093.3132,437281.3057,490007.7508,2355882.498,18367.27061,69322.1269,433.36284,766735.7799,2889.31752,15261.93542,144.72563
