"NGACV","NGCCV","NGICV","NGRCV","NNACB","NNCCB","NNICB","NNRCB","PAACB","PAACV","PACCB","PACCV","PAICB","PAICV","PARCB","PARCV"
"1",0,15.73003,18.70238,28.55085,32800.821,35776.905,131168.628,33324.993,105659.9279,240.39614,2774.53202,3.64541,39405.40025,35.70457,7390.09888,11.85555
"2",0,16.86499,24.67674,30.90591,31509.885,36562.08,135297.024,35084.868,111030.2423,258.81223,2719.73166,3.74672,34278.76835,34.71996,6846.82336,10.80463
"3",0,17.01616,24.95922,33.68612,39553.93476,35248.38884,136804.5817,37718.19466,119713.4522,276.09834,2962.03082,4.04779,40775.83506,40.43629,7619.57654,12.7324
"4",0,13.4091,21.15306,23.81201,31792.27392,27540.88128,120168.8928,25560.0576,127063.6857,316.32374,3139.51598,4.76192,50119.86839,54.8083,6608.0205,20.75201
"5",0,18.05294,32.74731,31.40988,34710.4926,27064.6551,114439.6764,27182.6961,125303.6186,447.11011,2802.39612,7.65947,52476.84467,83.58127,5867.95572,19.9865
"6",0,18.1609,32.83108,37.00599,31210.3099,24522.54,102593.4879,29928.2543,126868.2911,510.78672,2619.70071,7.83511,54585.62821,95.41237,4668.5616,19.22452
"7",0,36.11712,40.02531,49.71687,29751.39432,35943.51456,118604.641,38895.08832,133316.9312,549.77093,2716.9703,8.75824,55683.71675,105.403,4553.85814,19.19579
"8",0,42.70305,52.23693,53.98513,23702.67232,27253.20576,92482.89152,27305.624,140483.3136,621.86426,3436.73359,11.89636,57521.02545,120.78178,5040.35238,22.76194
"9",0,51.43009,58.89382,64.6011,24363.23778,27260.44182,80444.07279,27447.08454,149589.158,692.15554,3135.93231,11.09931,55571.87697,123.73983,4183.46978,20.72866
"10",0,60.75207,25.87682,76.15214,31040.62032,28094.87227,71796.34967,29696.12338,142556.8966,877.679,2754.90194,13.00554,59711.80277,172.16491,4670.40704,24.41842
"11",0,71.72001,84.47808,94.9591,40186.8348,25675.3588,77611.77424,29943.93304,136160.4997,1183.62096,6076.18283,41.29167,51969.51634,229.29319,5039.65682,36.77953
"12",0,69.27095,85.02832,95.24808,41426.82651,21548.49223,60333.00539,25982.3427,151814.4332,1513.85285,8251.94264,67.1584,49334.20746,285.84188,3430.8669,28.85713
"13",0,96.29708,40.16317,130.76098,36681.18721,22837.71364,80368.42473,27795.43788,138204.416,1343.07891,5647.2772,43.66217,36991.82204,178.17915,4856.5115,29.24357
"14",0,107.69104,47.63496,146.26797,31599.54468,23342.69124,71575.713,27696.07764,126948.259,1098.62455,15041.43663,93.12226,58825.02619,277.84447,6131.74197,50.85935
"15",0,113.77305,50.68767,161.50009,9891.74574,24357.32262,75767.0148,29077.63524,131551.714,1120.03487,6643.96534,39.14828,61399.48889,331.01175,2375.80835,21.34296
"16",0,97.21693,21.11674,133.39001,28249.7097,18204.66735,63475.3548,23882.6784,134897.0789,1142.26975,4517.17032,31.955,40767.14554,203.22079,7487.8358,63.93078
"17",0,90.23797,6.76375,137.30095,27900.02761,22362.92354,47238.18211,26021.46403,141711.2948,943.50947,3254.94336,16.57956,39790.08815,147.11058,3735.01606,26.17947
"18",0,79.1579,19.84051,137.11936,27773.89071,21545.48523,66581.48169,29752.41438,149186.5517,1049.77752,4146.25591,21.06172,39902.86725,139.67246,3711.35387,28.3991
"19",0,102.71585,26.31207,145.63465,39831.90814,33322.47192,60578.99115,29901.31326,151154.4213,1057.20207,3611.10515,17.71878,40468.70903,132.777,3248.10811,20.91834
"20",0,105.92593,36.82936,152.28772,55034.63616,29898.33983,64014.82304,27935.62691,149255.4754,1151.04538,3805.29678,20.61205,41771.69477,157.93242,4386.95509,32.55036
"21",0,105.0101,34.1467,159.47117,80384.05422,25030.41404,89986.91202,29733.22296,148775.291,1295.09745,4620.31794,31.59709,52186.37514,279.42144,5954.7071,55.06762
"22",0,103.66937,39.64725,160.80158,74821.76088,26048.82271,66821.61076,31024.98677,149437.3517,1266.47657,3830.74245,22.22847,71117.19633,335.35498,4713.96421,48.99257
"23",0.19756,93.69184,53.46386,149.18322,52510.42328,29080.40676,73801.89941,32781.61294,158194.8811,1365.2425,2524.38412,13.44329,69289.07834,243.31688,3869.00309,39.80556
"24",0.23574,120.15773,31.61411,173.82851,64985.89259,29079.72942,69505.22074,33191.11639,159234.5129,1438.94409,2432.10242,11.60234,71195.57675,291.3198,2826.86291,27.62882
"25",0.36564,109.9894,30.81461,173.17203,59189.45303,24956.30057,73451.99374,30859.48815,154240.0471,1377.95361,1823.77352,10.80498,65808.58949,265.09123,2732.08826,26.88623
"26",0.39307,89.53715,33.52253,145.0574,58014.75669,24418.46905,75065.0905,29352.14156,137260.9489,1225.61423,2225.91192,13.14525,66272.01799,271.6209,3015.12237,29.50037
"27",0.64425,88.58171,28.7682,150.52333,27998.13638,27382.79776,108232.4043,34856.19182,158731.9405,1533.66155,1815.66279,13.00129,56779.90198,233.02806,2985.14336,33.11384
"28",2.85016,120.84906,46.07196,214.97782,63779.88266,28017.25252,92356.37945,37443.51469,169945.3175,1618.30041,1976.67542,14.75925,57084.19309,232.15117,3781.43694,44.51234
"29",0.34141,109.91197,38.91415,187.27674,51402.39635,26631.31727,82913.16522,35119.02031,179831.2386,1456.97611,2210.02305,15.67491,57160.06685,187.46614,5521.90497,58.37002
"30",0.46498,102.44909,38.27364,178.80574,47473.58815,26431.31354,79895.11402,34666.98891,183528.6232,1606.04195,3631.38929,24.65293,59780.21793,216.64374,7284.71147,78.31155
"31",0.5083,132.34347,69.17562,219.11729,44487.58262,26137.27248,107121.3946,34761.70643,182023.4169,2041.53727,3344.1746,32.90797,54398.68988,272.544,7072.52293,94.67037
"32",0.93682,162.52603,77.59003,268.27,44453.96577,26410.63486,106827.3346,33824.9404,185711.1058,1970.36657,5129.96898,52.67812,38095.16425,176.54786,11905.58927,199.21883
"33",0.53859,121.00999,44.18214,205.34955,40614.64089,24769.112,94333.88721,32569.83497,185161.5613,1886.73501,5948.06617,55.15707,45283.59135,194.81404,9492.74266,125.9022
"34",0.67269,163.60267,68.67664,265.91504,30140.41616,24287.77081,100589.0149,32341.73465,186616.1615,2175.10776,6727.53235,71.0401,48308.24565,241.13922,7384.28668,121.42623
"35",0.66512,203.4109,69.15721,328.62458,28033.90822,26108.88083,108326.2231,35216.7315,198147.387,2746.62464,4503.86434,53.9102,50277.31563,312.85467,6580.11223,122.16001
"36",0.45013,225.16834,98.01162,370.32073,20426.5267,24779.63624,104654.1607,34058.87023,199264.5196,3593.96959,5234.02183,76.04009,46941.92689,364.72451,7108.82494,152.66008
"37",1.44475,249.25228,50.85698,384.70002,18114.95806,23904.1159,98617.82268,31085.53894,209490.46,4250.77342,3891.36672,69.31798,48509.02542,413.83989,7356.07623,174.46017
"38",1.44873,249.75381,53.58846,401.31383,14105.74648,25627.63012,104204.2928,34482.19898,205434.405,4548.70003,2668.81618,53.01471,66863.857,716.89546,6221.174,159.20138
"39",2.79127,261.65143,59.27833,415.77121,13949.69702,25608.34087,106799.8891,34570.19244,194054.3574,5141.44501,5209.80461,127.40719,58222.7935,791.33765,6528.12039,196.66014
"40",1.00282,185.57098,12.28958,308.32393,11407.879,25372.8914,105042.9684,33265.3546,190977.3057,3534.75237,2954.58848,50.23636,50558.05577,436.14338,6465.60834,164.40484
