"NGACV","NGCCV","NGICV","NGRCV","NNACB","NNCCB","NNICB","NNRCB","PAACB","PAACV","PACCB","PACCV","PAICB","PAICV","PARCB","PARCV"
"1",0,66.31672,258.28984,213.84684,98827.183,150034.43,2626269.048,238458.103,1112865.437,2305.53484,45336.976,45.77706,1256461.739,894.17042,53476.71418,90.75173
"2",0,70.58036,340.83408,235.72435,101766.457,146268.421,2791236.058,243796.449,1156008.146,2499.8437,41489.68882,44.49624,1293119.832,1005.50329,51403.91402,88.78259
"3",0,73.98338,328.15117,244.03006,107410.1809,145227.7684,2718425.949,247653.2311,1252875.707,2684.35981,48326.90485,50.90726,1476931.956,1176.56513,53591.27258,91.52647
"4",0,86.11265,448.28465,250.89607,107726.7017,159725.2014,2940001.536,248727.1696,1378034.84,3036.94109,58412.91087,67.09032,1600830.114,1413.40361,49092.16562,154.203
"5",0,95.23969,677.50562,260.44515,96771.49031,138677.7064,2762691.464,229657.2891,1412156.056,4546.33494,54020.58339,122.87434,1596227.423,2730.02501,43616.87792,138.75677
"6",0,122.60159,834.90074,353.82359,84556.70886,120211.7753,2223952.337,239210.6112,1476833.867,5233.30906,52983.88145,125.66744,1493125.954,2685.3195,40072.10046,138.16093
"7",0,192.55696,1194.89198,468.21155,74026.6912,139342.1814,2215578.953,242404.4946,1539646.794,5712.55644,52166.28151,149.49003,1664752.213,3428.43683,41188.18691,160.04046
"8",0,285.10884,1201.23495,645.75539,68353.2912,163056.3035,2218541.087,277404.2078,1658908.085,6550.37192,61859.6607,186.91105,1877219.43,4372.148,39230.55783,176.26408
"9",0,371.03634,1987.06647,750.61292,77089.02476,173240.6073,2257742.07,281835.6616,1748472.005,6931.7364,67439.66593,201.96266,1986550.612,4471.57172,43474.2861,182.76908
"10",0,665.0054,1589.78914,1015.16357,80167.19118,240663.2113,2031802.338,325187.4158,1800425.793,9522.5259,102632.3112,471.32042,2265664.855,7724.92741,25106.33122,140.65766
"11",0,504.32828,2840.57309,765.92847,108059.8821,173711.6261,2229659.483,231735.08,1693886.609,12568.41206,74645.33706,463.62786,2291449.806,10557.18735,21496.41311,159.82851
"12",0,578.59079,3928.87141,877.35346,105137.5847,162399.1429,2149257.856,215960.2086,1720816.028,15076.28285,86601.44283,586.99001,2121570.809,12282.85953,21216.77073,174.53342
"13",0,849.86312,3561.94783,1153.79007,105971.1969,195393.675,1644582.891,228332.1348,1776662.704,14872.75616,56454.08339,366.74395,1938957.274,10381.21776,17614.23195,165.82982
"14",0,794.70134,3665.93257,1192.13607,109171.9243,162503.8394,1623285.745,221319.7845,1769034.796,13357.93571,143673.5949,939.42182,1858567.87,10017.05654,20982.03854,180.60295
"15",0,840.52877,4368.79957,1340.41826,112169.3265,172245.0351,1729021.253,239408.1248,1846109.637,13746.39103,65767.33562,424.22502,2072170.072,10879.67696,18537.3507,159.96629
"16",0,741.29157,3940.78998,1226.77241,95637.8436,157706.3703,1799320.153,220988.8387,1929036.439,14379.75725,59924.74315,379.77379,1975362.251,8634.52382,24408.44187,206.69685
"17",0,612.9719,2775.01324,1032.81646,85240.58298,153240.7862,1725963.919,202902.3452,1985419.057,10642.3961,43476.16838,190.87385,1967625.494,6817.70926,22063.15847,176.93875
