"TETCB","TPOPP","CRTCB"
"1",520368.6596,1792,68919.16257
"2",554170.7497,1895.814,74136.25194
"3",616399.5685,2008.291,75188.74432
"4",670066.2646,2124.438,79348.45429
"5",676268.8086,2223.196,82058.08613
"6",659994.6942,2284.847,80897.34186
"7",691873.9875,2346.157,84428.48089
"8",738867.2341,2425.197,75680.87057
"9",747939.4264,2515.316,79869.7173
"10",786391.503,2635.571,83413.77083
"11",754458.4801,2737.774,120006.4291
"12",787807.4911,2810.107,92583.03952
"13",746359.9831,2889.861,94968.34525
"14",757809.5964,2968.925,175999.0286
"15",802483.4639,3067.135,188831.349
"16",842904.1719,3183.538,183685.08824
"17",852825.6274,3308.262,280643.1335
"18",865662.9164,3437.103,263645.2968
"19",906309.9974,3535.183,341964.35009
"20",943088.9157,3622.185,184633.79619
"21",948729.9556,3684.097,312781.11436
"22",957904.829,3788.576,351948.29358
"23",983786.8105,3915.74,355741.7475
"24",1003023.257,4065.44,318624.13594
"25",1055167.913,4245.089,336507.05578
"26",1086711.178,4432.499,389830.8921
"27",1151353.612,4586.94,417088.3081
"28",1187345.927,4736.99,451262.1639
"29",1244252.893,4883.342,446146.3879
"30",1288996.444,5023.823,434378.0536
"31",1333438.288,5166.304,419464.9152
"32",1336265.085,5303.869,392702.31895
"33",1348219.941,5451.472,410525.54189
"34",1365544.042,5590.82,383123.66009
"35",1431808.905,5758.692,375929.78267
"36",1478787.241,5973.97,361816.1122
"37",1530533.748,6190.987,346673.77504
"38",1571433.679,6360.238,378891.34139
"39",1545075.838,6499.207,417925.0816
"40",1454313.457,6587.653,424216.2469
