"TETCB","TPOPP","CRTCB"
"1",458770.2615,1023,5547.61237
"2",469593.5421,1053.737,4964.65394
"3",501838.8355,1078.697,4745.50766
"4",477906.8743,1105.529,4895.8681
"5",476618.7308,1131.309,4918.59476
"6",459572.7814,1159.944,6002.3454
"7",509048.2529,1189.295,6781.05597
"8",473456.8391,1215.72,7327.52063
"9",475365.6607,1238.034,7989.09471
"10",480801.5832,1284.722,9921.6861
"11",480855.8768,1309.4,6222.6322
"12",472859.8664,1332.748,7731.2666
"13",465156.9243,1363.823,8034.90149
"14",472598.3184,1394.361,9200.70962
"15",475367.8976,1416.717,9926.48398
"16",465917.0677,1438.361,10520.99098
"17",455233.8829,1462.729,11126.70674
"18",485837.52,1478.52,8592.94641
"19",510733.913,1490.337,8594.17854
"20",535626.0993,1503.901,9928.15283
"21",599437.3238,1521.574,8729.48362
"22",592995.5625,1555.305,9356.09125
"23",590248.0312,1595.442,9319.15144
"24",605604.7291,1636.453,8851.42503
"25",595181.6714,1682.398,8170.27972
"26",585228.7428,1720.394,9803.50494
"27",616466.3221,1752.326,8611.54468
"28",656304.0088,1774.839,9781.89609
"29",649553.1516,1793.484,10065.19479
"30",651747.0759,1808.082,10334.52736
"31",676800.9436,1820.802,10719.44735
"32",664219.3946,1828.437,7924.46009
"33",655477.3966,1849.187,8195.37527
"34",653788.2621,1868.121,8800.1346
"35",680525.2699,1890.215,11721.09552
"36",680850.894,1914.699,23514.3723
"37",686024.7111,1940.631,28322.22471
"38",714279.8546,1966.357,31839.10226
"39",696094.1778,1984.179,35996.44258
"40",670094.5064,2007.315,35635.38371
